id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
153632,Female,29,1,15,0,1-2 Year,Yes,2630,156,62,1
153635,Female,40,1,28,0,1-2 Year,Yes,32965,157,272,1
153646,Female,47,1,33,0,1-2 Year,Yes,30653,157,77,1
153650,Female,23,1,41,0,< 1 Year,Yes,29962,152,196,1
153653,Female,72,1,28,0,> 2 Years,Yes,44798,122,197,1
153660,Female,53,1,28,0,> 2 Years,Yes,31907,26,21,1
153670,Male,42,1,28,0,1-2 Year,Yes,29827,26,37,1
153677,Male,21,1,10,0,< 1 Year,Yes,2630,160,184,1
153702,Male,23,1,30,0,1-2 Year,Yes,2630,124,220,1
153709,Female,34,1,15,0,1-2 Year,Yes,40423,14,291,1
153721,Female,46,1,28,0,1-2 Year,Yes,39705,26,35,1
153726,Male,48,1,28,0,1-2 Year,Yes,32493,124,238,1
153727,Male,72,1,8,0,1-2 Year,Yes,2630,157,52,1
153731,Male,41,1,28,0,1-2 Year,Yes,34975,26,137,1
153742,Male,45,1,11,0,1-2 Year,Yes,30421,124,296,1
153758,Male,62,1,41,0,1-2 Year,Yes,22308,26,267,1
153781,Male,51,1,28,0,1-2 Year,Yes,30751,154,242,1
153791,Male,55,1,35,0,1-2 Year,Yes,2630,156,15,1
153798,Female,22,1,8,0,< 1 Year,Yes,2630,156,60,1
153805,Male,39,1,6,0,1-2 Year,Yes,26904,124,241,1
153813,Female,23,1,34,0,< 1 Year,Yes,32451,152,278,1
153821,Male,53,1,44,0,1-2 Year,Yes,21024,124,224,1
153824,Male,52,1,28,0,1-2 Year,Yes,65573,26,100,1
153825,Male,52,1,28,0,> 2 Years,Yes,38316,26,238,1
153836,Male,41,1,28,0,1-2 Year,Yes,32252,124,149,1
153839,Female,62,1,28,0,1-2 Year,Yes,33184,124,283,1
153843,Male,45,1,33,0,1-2 Year,Yes,36831,26,52,1
153844,Male,42,1,23,0,1-2 Year,Yes,24968,55,102,1
153848,Female,58,1,8,0,1-2 Year,Yes,58580,124,298,1
153866,Female,37,1,0,0,1-2 Year,Yes,2630,26,210,1
153870,Male,39,1,14,0,1-2 Year,Yes,34030,124,92,1
153894,Male,37,1,39,0,1-2 Year,Yes,44569,26,125,1
153895,Female,51,1,46,0,1-2 Year,Yes,40208,124,29,1
153912,Female,43,1,28,0,1-2 Year,Yes,39221,124,298,1
153937,Male,75,1,43,0,> 2 Years,Yes,30572,26,24,1
153953,Female,40,1,28,0,1-2 Year,Yes,26636,26,113,1
153967,Male,21,1,8,0,1-2 Year,Yes,2630,163,289,1
153971,Female,60,1,28,0,1-2 Year,Yes,2630,26,244,1
153975,Female,62,1,28,0,1-2 Year,Yes,55201,26,150,1
153981,Female,27,1,30,0,< 1 Year,Yes,28064,152,175,1
153985,Female,42,1,28,0,1-2 Year,Yes,55206,124,189,1
153993,Female,57,1,45,0,1-2 Year,Yes,2630,156,184,1
153999,Male,61,1,28,0,1-2 Year,Yes,59577,124,163,1
154020,Male,48,1,35,0,1-2 Year,Yes,41034,124,102,1
154021,Male,21,1,37,0,< 1 Year,Yes,27013,160,95,1
154047,Female,24,1,28,0,< 1 Year,Yes,38795,163,144,1
154057,Female,35,1,28,0,1-2 Year,Yes,2630,156,58,1
154062,Male,54,1,22,0,1-2 Year,Yes,26816,124,189,1
154084,Female,48,1,46,0,1-2 Year,Yes,32913,124,184,1
154086,Female,33,1,43,0,1-2 Year,Yes,27305,124,237,1
154090,Male,40,1,18,0,1-2 Year,Yes,26025,163,139,1
154092,Male,62,1,28,0,1-2 Year,Yes,41720,26,137,1
154095,Male,59,1,28,0,1-2 Year,Yes,2630,26,15,1
154096,Male,46,1,28,0,1-2 Year,Yes,2630,156,283,1
154125,Male,57,1,28,0,1-2 Year,Yes,56761,124,115,1
154139,Female,48,1,41,0,1-2 Year,Yes,29328,124,222,1
154194,Male,34,1,28,0,1-2 Year,Yes,31931,124,206,1
154210,Female,25,1,28,0,< 1 Year,Yes,38125,152,211,1
154218,Male,59,1,41,0,> 2 Years,Yes,31693,136,133,1
154219,Male,32,1,28,0,1-2 Year,Yes,46926,124,58,1
154225,Male,44,1,8,0,1-2 Year,Yes,48246,26,105,1
154243,Male,55,1,28,0,1-2 Year,Yes,32206,26,231,1
154251,Male,56,1,28,0,1-2 Year,Yes,64047,122,34,1
154256,Male,46,1,32,0,1-2 Year,No,41516,122,78,1
154260,Female,49,1,28,0,1-2 Year,Yes,46315,122,203,1
154285,Female,68,1,28,0,> 2 Years,Yes,50454,122,80,1
154292,Male,48,1,33,0,> 2 Years,Yes,27983,124,24,1
154317,Male,48,1,28,0,1-2 Year,Yes,45072,26,151,1
154322,Male,51,1,28,0,1-2 Year,Yes,65604,122,121,1
154335,Female,55,1,35,0,1-2 Year,Yes,54684,26,152,1
154340,Male,42,1,3,0,1-2 Year,Yes,2630,26,217,1
154345,Female,45,1,28,0,1-2 Year,Yes,30104,26,233,1
154354,Female,38,1,28,0,1-2 Year,Yes,28613,26,101,1
154364,Male,48,1,31,0,1-2 Year,Yes,2630,154,238,1
154379,Male,23,1,11,0,< 1 Year,Yes,2630,152,111,1
154390,Female,55,1,29,0,1-2 Year,Yes,2630,124,151,1
154393,Male,30,1,41,0,1-2 Year,Yes,2630,156,164,1
154394,Female,47,1,47,0,> 2 Years,Yes,36778,124,118,1
154400,Male,46,1,32,0,1-2 Year,Yes,2630,124,173,1
154404,Female,40,1,28,0,1-2 Year,Yes,69856,124,159,1
154408,Male,23,1,46,0,< 1 Year,Yes,23884,152,31,1
154410,Female,48,1,28,0,1-2 Year,Yes,45447,26,287,1
154415,Female,26,1,28,0,< 1 Year,Yes,39833,124,207,1
154430,Male,45,1,25,0,1-2 Year,Yes,25092,124,163,1
154435,Female,44,1,46,0,1-2 Year,Yes,25802,11,259,1
154440,Male,34,1,28,0,1-2 Year,Yes,38425,124,27,1
154465,Female,53,1,8,0,1-2 Year,Yes,37183,31,287,1
154477,Female,49,1,28,0,1-2 Year,Yes,37658,26,49,1
154487,Male,31,1,28,0,< 1 Year,Yes,47267,26,245,1
154493,Male,62,1,28,0,> 2 Years,Yes,41075,26,58,1
154496,Male,45,1,50,0,> 2 Years,Yes,31910,26,262,1
154511,Female,59,1,11,0,1-2 Year,Yes,2630,124,296,1
154514,Male,45,1,33,0,1-2 Year,Yes,49323,26,104,1
154527,Male,33,1,15,0,1-2 Year,Yes,28429,154,179,1
154537,Male,51,1,28,0,1-2 Year,Yes,2630,26,63,1
154538,Male,32,1,48,0,1-2 Year,Yes,2630,26,11,1
154541,Male,28,1,28,0,< 1 Year,Yes,33660,154,286,1
